Output directory: runs/20260204_231929_p2p_1obs_vortex
Logging to: runs/20260204_231929_p2p_1obs_vortex/training.log
Config saved to: runs/20260204_231929_p2p_1obs_vortex/config.yaml

Building geometry, wind field, and physics objects...

======================================================================
               PHYSICS CONSISTENCY CHECKS
======================================================================

Validating mathematical assumptions before training...

[Physics Check 1/3] Strong Controllability
------------------------------------------------------------
  sup||v_w||     = 4.8108 m/s
  v_min          = 12.0000 m/s
  epsilon_c      = 1.0000 m/s
  Margin         = 6.1892 m/s
  Status         : ✅ PASSED

[Physics Check 2/3] Fundamental Diagram Properties
------------------------------------------------------------
  v_max(0)       = 20.0000 m/s
  v_max^0        = 20.0000 m/s
  Min speed      = 16.0000 m/s
  v_min          = 12.0000 m/s
  Monotone       : ✅ Yes
  Status         : ✅ PASSED

[Physics Check 3/3] Target Boundary Distance Function
------------------------------------------------------------
  Target center        : (90.00, 90.00, 15.00)
  Target radius        : 10.00 m
  Domain size (min)    : 30.00 m
  Size ratio           : 3.33e-01
  Sampling radius      : 1.00 m
  Sampling strategy    : Targeted (box size = 30.00 m)
  ⚠️  Only found 25 points, expanding search...
  Sampled 4 points near ∂D
  Max |d_D - max(sdf, 0)| = 0.00e+00
  Status         : ✅ PASSED

======================================================================
✅ ALL PHYSICS CHECKS PASSED - Ready for training
======================================================================


======================================================================
               ROUTE B: FIXED-POINT ITERATION
======================================================================

Starting Fixed-Point Iteration Training (Route B)
Outer iterations: 10, Relaxation α: 0.2
======================================================================

======================================================================
OUTER ITERATION 1/10
======================================================================

[Step 1/4] Training φ network with fixed ρ^0...

Outer iter 1 - Training φ:   0%|          | 0/2000 [00:00<?, ?it/s]
Outer iter 1 - Training φ:   0%|          | 0/2000 [00:00<?, ?it/s, loss=2.6301e+02, res=1.5911e+01, lr=1.00e-03]
Outer iter 1 - Training φ:   0%|          | 1/2000 [00:00<09:58,  3.34it/s, loss=2.6301e+02, res=1.5911e+01, lr=1.00e-03]
Outer iter 1 - Training φ:   0%|          | 1/2000 [00:00<09:58,  3.34it/s, loss=2.1716e+02, res=1.4496e+01, lr=1.00e-03]
Outer iter 1 - Training φ:   0%|          | 1/2000 [00:00<09:58,  3.34it/s, loss=1.4390e+02, res=1.1683e+01, lr=1.00e-03]
Outer iter 1 - Training φ:   0%|          | 1/2000 [00:00<09:58,  3.34it/s, loss=9.1151e+01, res=8.5840e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   0%|          | 1/2000 [00:00<09:58,  3.34it/s, loss=9.5845e+01, res=8.5153e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   0%|          | 1/2000 [00:00<09:58,  3.34it/s, loss=1.0748e+02, res=9.1517e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   0%|          | 1/2000 [00:00<09:58,  3.34it/s, loss=9.6428e+01, res=8.4203e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   0%|          | 1/2000 [00:00<09:58,  3.34it/s, loss=8.9202e+01, res=7.6702e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   0%|          | 1/2000 [00:00<09:58,  3.34it/s, loss=7.8960e+01, res=6.8784e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   0%|          | 9/2000 [00:00<01:10, 28.08it/s, loss=7.8960e+01, res=6.8784e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   0%|          | 9/2000 [00:00<01:10, 28.08it/s, loss=7.6478e+01, res=6.8950e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   0%|          | 9/2000 [00:00<01:10, 28.08it/s, loss=7.9667e+01, res=7.2124e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   0%|          | 9/2000 [00:00<01:10, 28.08it/s, loss=7.7964e+01, res=7.2255e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   0%|          | 9/2000 [00:00<01:10, 28.08it/s, loss=7.3038e+01, res=6.9267e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   0%|          | 9/2000 [00:00<01:10, 28.08it/s, loss=6.5054e+01, res=6.4235e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   0%|          | 9/2000 [00:00<01:10, 28.08it/s, loss=6.1039e+01, res=6.0396e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   0%|          | 9/2000 [00:00<01:10, 28.08it/s, loss=5.6342e+01, res=5.8037e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   0%|          | 9/2000 [00:00<01:10, 28.08it/s, loss=5.1945e+01, res=5.6297e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   0%|          | 9/2000 [00:00<01:10, 28.08it/s, loss=5.2924e+01, res=5.7801e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|          | 18/2000 [00:00<00:42, 46.10it/s, loss=5.2924e+01, res=5.7801e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|          | 18/2000 [00:00<00:42, 46.10it/s, loss=5.0211e+01, res=5.7314e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|          | 18/2000 [00:00<00:42, 46.10it/s, loss=4.6320e+01, res=5.5542e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|          | 18/2000 [00:00<00:42, 46.10it/s, loss=4.1230e+01, res=5.1989e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|          | 18/2000 [00:00<00:42, 46.10it/s, loss=3.6874e+01, res=4.8416e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|          | 18/2000 [00:00<00:42, 46.10it/s, loss=3.5799e+01, res=4.7777e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|          | 18/2000 [00:00<00:42, 46.10it/s, loss=3.4686e+01, res=4.7446e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|          | 18/2000 [00:00<00:42, 46.10it/s, loss=3.2110e+01, res=4.6227e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|          | 18/2000 [00:00<00:42, 46.10it/s, loss=3.1474e+01, res=4.6197e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|          | 18/2000 [00:00<00:42, 46.10it/s, loss=2.9698e+01, res=4.5218e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|▏         | 27/2000 [00:00<00:33, 58.25it/s, loss=2.9698e+01, res=4.5218e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|▏         | 27/2000 [00:00<00:33, 58.25it/s, loss=2.7876e+01, res=4.3837e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|▏         | 27/2000 [00:00<00:33, 58.25it/s, loss=2.7585e+01, res=4.3539e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|▏         | 27/2000 [00:00<00:33, 58.25it/s, loss=2.5842e+01, res=4.2081e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|▏         | 27/2000 [00:00<00:33, 58.25it/s, loss=2.4772e+01, res=4.1280e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|▏         | 27/2000 [00:00<00:33, 58.25it/s, loss=2.1998e+01, res=3.8655e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|▏         | 27/2000 [00:00<00:33, 58.25it/s, loss=2.1196e+01, res=3.8164e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|▏         | 27/2000 [00:00<00:33, 58.25it/s, loss=2.0065e+01, res=3.7439e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|▏         | 27/2000 [00:00<00:33, 58.25it/s, loss=1.9480e+01, res=3.6907e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|▏         | 27/2000 [00:00<00:33, 58.25it/s, loss=1.8457e+01, res=3.5947e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 36/2000 [00:00<00:29, 66.04it/s, loss=1.8457e+01, res=3.5947e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 36/2000 [00:00<00:29, 66.04it/s, loss=1.7482e+01, res=3.5171e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 36/2000 [00:00<00:29, 66.04it/s, loss=1.6107e+01, res=3.3538e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 36/2000 [00:00<00:29, 66.04it/s, loss=1.5347e+01, res=3.2571e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 36/2000 [00:00<00:29, 66.04it/s, loss=1.4628e+01, res=3.1706e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 36/2000 [00:00<00:29, 66.04it/s, loss=1.3095e+01, res=2.9781e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 36/2000 [00:00<00:29, 66.04it/s, loss=1.2180e+01, res=2.8713e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 36/2000 [00:00<00:29, 66.04it/s, loss=1.1549e+01, res=2.7752e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 36/2000 [00:00<00:29, 66.04it/s, loss=1.0516e+01, res=2.6334e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 36/2000 [00:00<00:29, 66.04it/s, loss=1.0377e+01, res=2.6133e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 45/2000 [00:00<00:27, 70.96it/s, loss=1.0377e+01, res=2.6133e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 45/2000 [00:00<00:27, 70.96it/s, loss=9.7698e+00, res=2.5213e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 45/2000 [00:00<00:27, 70.96it/s, loss=9.1394e+00, res=2.4185e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 45/2000 [00:00<00:27, 70.96it/s, loss=8.7661e+00, res=2.3591e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 45/2000 [00:00<00:27, 70.96it/s, loss=7.8535e+00, res=2.2146e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 45/2000 [00:00<00:27, 70.96it/s, loss=7.6385e+00, res=2.1772e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 45/2000 [00:00<00:27, 70.96it/s, loss=6.8403e+00, res=2.0278e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 45/2000 [00:00<00:27, 70.96it/s, loss=6.4647e+00, res=1.9617e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 45/2000 [00:00<00:27, 70.96it/s, loss=6.0546e+00, res=1.8857e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 45/2000 [00:00<00:27, 70.96it/s, loss=5.8538e+00, res=1.8400e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   3%|▎         | 54/2000 [00:00<00:26, 74.25it/s, loss=5.8538e+00, res=1.8400e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   3%|▎         | 54/2000 [00:00<00:26, 74.25it/s, loss=5.2679e+00, res=1.7269e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   3%|▎         | 54/2000 [00:00<00:26, 74.25it/s, loss=4.8710e+00, res=1.6434e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   3%|▎         | 54/2000 [00:00<00:26, 74.25it/s, loss=4.5886e+00, res=1.5904e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   3%|▎         | 54/2000 [00:00<00:26, 74.25it/s, loss=4.4771e+00, res=1.5783e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   3%|▎         | 54/2000 [00:01<00:26, 74.25it/s, loss=4.1948e+00, res=1.5207e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   3%|▎         | 54/2000 [00:01<00:26, 74.25it/s, loss=3.9321e+00, res=1.4650e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   3%|▎         | 54/2000 [00:01<00:26, 74.25it/s, loss=3.9922e+00, res=1.4740e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   3%|▎         | 54/2000 [00:01<00:26, 74.25it/s, loss=3.6398e+00, res=1.4057e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   3%|▎         | 54/2000 [00:01<00:26, 74.25it/s, loss=3.3262e+00, res=1.3340e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   3%|▎         | 63/2000 [00:01<00:25, 76.22it/s, loss=3.3262e+00, res=1.3340e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   3%|▎         | 63/2000 [00:01<00:25, 76.22it/s, loss=3.1104e+00, res=1.2895e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   3%|▎         | 63/2000 [00:01<00:25, 76.22it/s, loss=2.9198e+00, res=1.2414e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   3%|▎         | 63/2000 [00:01<00:25, 76.22it/s, loss=2.8351e+00, res=1.2285e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   3%|▎         | 63/2000 [00:01<00:25, 76.22it/s, loss=2.7273e+00, res=1.2016e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   3%|▎         | 63/2000 [00:01<00:25, 76.22it/s, loss=2.4764e+00, res=1.1468e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   3%|▎         | 63/2000 [00:01<00:25, 76.22it/s, loss=2.4041e+00, res=1.1305e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   3%|▎         | 63/2000 [00:01<00:25, 76.22it/s, loss=2.3187e+00, res=1.1049e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   3%|▎         | 63/2000 [00:01<00:25, 76.22it/s, loss=2.1383e+00, res=1.0475e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▎         | 71/2000 [00:01<00:24, 77.27it/s, loss=2.1383e+00, res=1.0475e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▎         | 71/2000 [00:01<00:24, 77.27it/s, loss=2.0948e+00, res=1.0479e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▎         | 71/2000 [00:01<00:24, 77.27it/s, loss=1.8757e+00, res=9.8166e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▎         | 71/2000 [00:01<00:24, 77.27it/s, loss=1.8965e+00, res=9.9865e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▎         | 71/2000 [00:01<00:24, 77.27it/s, loss=1.7505e+00, res=9.5033e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▎         | 71/2000 [00:01<00:24, 77.27it/s, loss=1.7112e+00, res=9.4095e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▎         | 71/2000 [00:01<00:24, 77.27it/s, loss=1.5938e+00, res=9.0465e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▎         | 71/2000 [00:01<00:24, 77.27it/s, loss=1.6020e+00, res=9.1356e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▎         | 71/2000 [00:01<00:24, 77.27it/s, loss=1.5265e+00, res=8.9612e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▎         | 71/2000 [00:01<00:24, 77.27it/s, loss=1.4667e+00, res=8.7578e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▍         | 80/2000 [00:01<00:24, 78.44it/s, loss=1.4667e+00, res=8.7578e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▍         | 80/2000 [00:01<00:24, 78.44it/s, loss=1.4201e+00, res=8.6147e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▍         | 80/2000 [00:01<00:24, 78.44it/s, loss=1.4099e+00, res=8.6387e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▍         | 80/2000 [00:01<00:24, 78.44it/s, loss=1.2818e+00, res=8.1525e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▍         | 80/2000 [00:01<00:24, 78.44it/s, loss=1.2396e+00, res=7.9846e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▍         | 80/2000 [00:01<00:24, 78.44it/s, loss=1.2596e+00, res=8.1311e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▍         | 80/2000 [00:01<00:24, 78.44it/s, loss=1.1957e+00, res=7.8990e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▍         | 80/2000 [00:01<00:24, 78.44it/s, loss=1.1013e+00, res=7.5591e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▍         | 80/2000 [00:01<00:24, 78.44it/s, loss=1.1164e+00, res=7.6419e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▍         | 80/2000 [00:01<00:24, 78.44it/s, loss=1.0850e+00, res=7.5336e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▍         | 89/2000 [00:01<00:23, 79.87it/s, loss=1.0850e+00, res=7.5336e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▍         | 89/2000 [00:01<00:23, 79.87it/s, loss=1.0257e+00, res=7.2814e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▍         | 89/2000 [00:01<00:23, 79.87it/s, loss=9.9481e-01, res=7.1650e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▍         | 89/2000 [00:01<00:23, 79.87it/s, loss=1.0144e+00, res=7.2814e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▍         | 89/2000 [00:01<00:23, 79.87it/s, loss=1.0158e+00, res=7.3201e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▍         | 89/2000 [00:01<00:23, 79.87it/s, loss=9.4210e-01, res=7.0090e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▍         | 89/2000 [00:01<00:23, 79.87it/s, loss=8.9371e-01, res=6.7974e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▍         | 89/2000 [00:01<00:23, 79.87it/s, loss=8.6681e-01, res=6.7131e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▍         | 89/2000 [00:01<00:23, 79.87it/s, loss=8.4479e-01, res=6.6129e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▍         | 89/2000 [00:01<00:23, 79.87it/s, loss=8.6600e-01, res=6.6781e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▍         | 98/2000 [00:01<00:23, 79.88it/s, loss=8.6600e-01, res=6.6781e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▍         | 98/2000 [00:01<00:23, 79.88it/s, loss=8.3567e-01, res=6.6196e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▍         | 98/2000 [00:01<00:23, 79.88it/s, loss=8.3082e-01, res=6.5550e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▍         | 98/2000 [00:01<00:23, 79.88it/s, loss=7.8694e-01, res=6.3995e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▍         | 98/2000 [00:01<00:23, 79.88it/s, loss=7.8790e-01, res=6.4194e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▍         | 98/2000 [00:01<00:23, 79.88it/s, loss=7.7697e-01, res=6.3311e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▍         | 98/2000 [00:01<00:23, 79.88it/s, loss=7.4368e-01, res=6.2311e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▍         | 98/2000 [00:01<00:23, 79.88it/s, loss=7.0515e-01, res=6.0101e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▍         | 98/2000 [00:01<00:23, 79.88it/s, loss=7.2133e-01, res=6.1413e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▍         | 98/2000 [00:01<00:23, 79.88it/s, loss=7.0321e-01, res=6.0574e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▌         | 107/2000 [00:01<00:23, 80.84it/s, loss=7.0321e-01, res=6.0574e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▌         | 107/2000 [00:01<00:23, 80.84it/s, loss=6.9938e-01, res=6.0643e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▌         | 107/2000 [00:01<00:23, 80.84it/s, loss=7.0023e-01, res=6.0590e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▌         | 107/2000 [00:01<00:23, 80.84it/s, loss=6.6196e-01, res=5.9041e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▌         | 107/2000 [00:01<00:23, 80.84it/s, loss=6.8190e-01, res=6.0131e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▌         | 107/2000 [00:01<00:23, 80.84it/s, loss=6.5716e-01, res=5.8861e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▌         | 107/2000 [00:01<00:23, 80.84it/s, loss=6.4020e-01, res=5.7668e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▌         | 107/2000 [00:01<00:23, 80.84it/s, loss=6.2591e-01, res=5.6753e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▌         | 107/2000 [00:01<00:23, 80.84it/s, loss=6.0151e-01, res=5.6189e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▌         | 107/2000 [00:01<00:23, 80.84it/s, loss=6.0981e-01, res=5.6006e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   6%|▌         | 116/2000 [00:01<00:23, 81.63it/s, loss=6.0981e-01, res=5.6006e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   6%|▌         | 116/2000 [00:01<00:23, 81.63it/s, loss=6.0243e-01, res=5.5659e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   6%|▌         | 116/2000 [00:01<00:23, 81.63it/s, loss=5.5715e-01, res=5.3988e-01, lr=1.00e-03]
