Output directory: runs/20260205_000939_homing_no_obs_no_wind
Logging to: runs/20260205_000939_homing_no_obs_no_wind/training.log
Config saved to: runs/20260205_000939_homing_no_obs_no_wind/config.yaml

Building geometry, wind field, and physics objects...

======================================================================
               PHYSICS CONSISTENCY CHECKS
======================================================================

Validating mathematical assumptions before training...

[Physics Check 1/3] Strong Controllability
------------------------------------------------------------
  sup||v_w||     = 0.0000 m/s
  v_min          = 3.0000 m/s
  epsilon_c      = 1.0000 m/s
  Margin         = 2.0000 m/s
  Status         : ✅ PASSED

[Physics Check 2/3] Fundamental Diagram Properties
------------------------------------------------------------
  v_max(0)       = 20.0000 m/s
  v_max^0        = 20.0000 m/s
  Min speed      = 16.0000 m/s
  v_min          = 3.0000 m/s
  Monotone       : ✅ Yes
  Status         : ✅ PASSED

[Physics Check 3/3] Target Boundary Distance Function
------------------------------------------------------------
  Target center        : (50.00, 50.00, 15.00)
  Target radius        : 5.00 m
  Domain size (min)    : 50.00 m
  Size ratio           : 1.00e-01
  Sampling radius      : 1.00 m
  Sampling strategy    : Targeted (box size = 15.00 m)
  ⚠️  Only found 47 points, expanding search...
  Sampled 9 points near ∂D
  Max |d_D - max(sdf, 0)| = 0.00e+00
  Status         : ✅ PASSED

======================================================================
✅ ALL PHYSICS CHECKS PASSED - Ready for training
======================================================================


======================================================================
               ROUTE B: FIXED-POINT ITERATION
======================================================================

Starting Fixed-Point Iteration Training (Route B)
Outer iterations: 10, Relaxation α: 0.2
======================================================================

======================================================================
OUTER ITERATION 1/10
======================================================================

[Step 1/4] Training φ network with fixed ρ^0...

Outer iter 1 - Training φ:   0%|          | 0/2000 [00:00<?, ?it/s]
Outer iter 1 - Training φ:   0%|          | 0/2000 [00:00<?, ?it/s, loss=1.9842e+02, res=1.3832e+01, lr=1.00e-03]
Outer iter 1 - Training φ:   0%|          | 1/2000 [00:00<09:18,  3.58it/s, loss=1.9842e+02, res=1.3832e+01, lr=1.00e-03]
Outer iter 1 - Training φ:   0%|          | 1/2000 [00:00<09:18,  3.58it/s, loss=1.5754e+02, res=1.2252e+01, lr=1.00e-03]
Outer iter 1 - Training φ:   0%|          | 1/2000 [00:00<09:18,  3.58it/s, loss=1.6009e+02, res=1.2145e+01, lr=1.00e-03]
Outer iter 1 - Training φ:   0%|          | 1/2000 [00:00<09:18,  3.58it/s, loss=1.4611e+02, res=1.1701e+01, lr=1.00e-03]
Outer iter 1 - Training φ:   0%|          | 1/2000 [00:00<09:18,  3.58it/s, loss=1.3279e+02, res=1.1292e+01, lr=1.00e-03]
Outer iter 1 - Training φ:   0%|          | 1/2000 [00:00<09:18,  3.58it/s, loss=1.2590e+02, res=1.1078e+01, lr=1.00e-03]
Outer iter 1 - Training φ:   0%|          | 1/2000 [00:00<09:18,  3.58it/s, loss=1.2087e+02, res=1.0895e+01, lr=1.00e-03]
Outer iter 1 - Training φ:   0%|          | 1/2000 [00:00<09:18,  3.58it/s, loss=1.1361e+02, res=1.0604e+01, lr=1.00e-03]
Outer iter 1 - Training φ:   0%|          | 1/2000 [00:00<09:18,  3.58it/s, loss=1.0318e+02, res=1.0143e+01, lr=1.00e-03]
Outer iter 1 - Training φ:   0%|          | 1/2000 [00:00<09:18,  3.58it/s, loss=9.3815e+01, res=9.6691e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   0%|          | 1/2000 [00:00<09:18,  3.58it/s, loss=8.7009e+01, res=9.2589e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|          | 11/2000 [00:00<00:55, 35.90it/s, loss=8.7009e+01, res=9.2589e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|          | 11/2000 [00:00<00:55, 35.90it/s, loss=8.2052e+01, res=8.9068e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|          | 11/2000 [00:00<00:55, 35.90it/s, loss=7.8212e+01, res=8.6335e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|          | 11/2000 [00:00<00:55, 35.90it/s, loss=7.1449e+01, res=8.2297e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|          | 11/2000 [00:00<00:55, 35.90it/s, loss=6.4061e+01, res=7.8140e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|          | 11/2000 [00:00<00:55, 35.90it/s, loss=5.5922e+01, res=7.3507e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|          | 11/2000 [00:00<00:55, 35.90it/s, loss=4.9427e+01, res=6.9663e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|          | 11/2000 [00:00<00:55, 35.90it/s, loss=4.3499e+01, res=6.5713e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|          | 11/2000 [00:00<00:55, 35.90it/s, loss=3.8293e+01, res=6.1766e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|          | 11/2000 [00:00<00:55, 35.90it/s, loss=3.3937e+01, res=5.8034e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|          | 11/2000 [00:00<00:55, 35.90it/s, loss=2.9373e+01, res=5.3822e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|          | 21/2000 [00:00<00:35, 56.42it/s, loss=2.9373e+01, res=5.3822e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|          | 21/2000 [00:00<00:35, 56.42it/s, loss=2.4816e+01, res=4.9352e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|          | 21/2000 [00:00<00:35, 56.42it/s, loss=2.0493e+01, res=4.4781e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|          | 21/2000 [00:00<00:35, 56.42it/s, loss=1.6679e+01, res=4.0350e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|          | 21/2000 [00:00<00:35, 56.42it/s, loss=1.3383e+01, res=3.6056e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|          | 21/2000 [00:00<00:35, 56.42it/s, loss=1.0773e+01, res=3.2200e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|          | 21/2000 [00:00<00:35, 56.42it/s, loss=8.6463e+00, res=2.8685e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|          | 21/2000 [00:00<00:35, 56.42it/s, loss=6.8272e+00, res=2.5327e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|          | 21/2000 [00:00<00:35, 56.42it/s, loss=5.3361e+00, res=2.2228e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|          | 21/2000 [00:00<00:35, 56.42it/s, loss=4.2250e+00, res=1.9667e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   1%|          | 21/2000 [00:00<00:35, 56.42it/s, loss=3.2326e+00, res=1.7134e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 31/2000 [00:00<00:28, 69.90it/s, loss=3.2326e+00, res=1.7134e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 31/2000 [00:00<00:28, 69.90it/s, loss=2.3788e+00, res=1.4667e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 31/2000 [00:00<00:28, 69.90it/s, loss=1.7903e+00, res=1.2726e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 31/2000 [00:00<00:28, 69.90it/s, loss=1.2637e+00, res=1.0687e+00, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 31/2000 [00:00<00:28, 69.90it/s, loss=9.3665e-01, res=9.1709e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 31/2000 [00:00<00:28, 69.90it/s, loss=6.5552e-01, res=7.6646e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 31/2000 [00:00<00:28, 69.90it/s, loss=4.6418e-01, res=6.4304e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 31/2000 [00:00<00:28, 69.90it/s, loss=3.2527e-01, res=5.3315e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 31/2000 [00:00<00:28, 69.90it/s, loss=2.2931e-01, res=4.3986e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 31/2000 [00:00<00:28, 69.90it/s, loss=1.5578e-01, res=3.5386e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 31/2000 [00:00<00:28, 69.90it/s, loss=1.1073e-01, res=2.8716e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 41/2000 [00:00<00:24, 78.85it/s, loss=1.1073e-01, res=2.8716e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 41/2000 [00:00<00:24, 78.85it/s, loss=7.5322e-02, res=2.2260e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 41/2000 [00:00<00:24, 78.85it/s, loss=5.0135e-02, res=1.7462e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 41/2000 [00:00<00:24, 78.85it/s, loss=3.5278e-02, res=1.4440e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 41/2000 [00:00<00:24, 78.85it/s, loss=2.6621e-02, res=1.2807e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 41/2000 [00:00<00:24, 78.85it/s, loss=2.2565e-02, res=1.2139e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 41/2000 [00:00<00:24, 78.85it/s, loss=2.1585e-02, res=1.2106e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 41/2000 [00:00<00:24, 78.85it/s, loss=2.2356e-02, res=1.2634e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 41/2000 [00:00<00:24, 78.85it/s, loss=2.4987e-02, res=1.3551e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 41/2000 [00:00<00:24, 78.85it/s, loss=2.9127e-02, res=1.4734e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   2%|▏         | 41/2000 [00:00<00:24, 78.85it/s, loss=3.3126e-02, res=1.5770e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   3%|▎         | 51/2000 [00:00<00:22, 84.80it/s, loss=3.3126e-02, res=1.5770e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   3%|▎         | 51/2000 [00:00<00:22, 84.80it/s, loss=3.8385e-02, res=1.7124e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   3%|▎         | 51/2000 [00:00<00:22, 84.80it/s, loss=4.2597e-02, res=1.8120e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   3%|▎         | 51/2000 [00:00<00:22, 84.80it/s, loss=4.6815e-02, res=1.9085e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   3%|▎         | 51/2000 [00:00<00:22, 84.80it/s, loss=5.0411e-02, res=1.9837e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   3%|▎         | 51/2000 [00:00<00:22, 84.80it/s, loss=5.6807e-02, res=2.1339e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   3%|▎         | 51/2000 [00:00<00:22, 84.80it/s, loss=5.9869e-02, res=2.2016e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   3%|▎         | 51/2000 [00:00<00:22, 84.80it/s, loss=6.2974e-02, res=2.2596e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   3%|▎         | 51/2000 [00:00<00:22, 84.80it/s, loss=6.7121e-02, res=2.3489e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   3%|▎         | 51/2000 [00:00<00:22, 84.80it/s, loss=7.0581e-02, res=2.4278e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   3%|▎         | 51/2000 [00:00<00:22, 84.80it/s, loss=7.3297e-02, res=2.4778e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   3%|▎         | 61/2000 [00:00<00:21, 89.26it/s, loss=7.3297e-02, res=2.4778e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   3%|▎         | 61/2000 [00:00<00:21, 89.26it/s, loss=7.6287e-02, res=2.5289e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   3%|▎         | 61/2000 [00:00<00:21, 89.26it/s, loss=7.7456e-02, res=2.5501e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   3%|▎         | 61/2000 [00:00<00:21, 89.26it/s, loss=7.9405e-02, res=2.5941e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   3%|▎         | 61/2000 [00:00<00:21, 89.26it/s, loss=8.1234e-02, res=2.6294e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   3%|▎         | 61/2000 [00:00<00:21, 89.26it/s, loss=8.3121e-02, res=2.6577e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   3%|▎         | 61/2000 [00:00<00:21, 89.26it/s, loss=8.1805e-02, res=2.6276e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   3%|▎         | 61/2000 [00:00<00:21, 89.26it/s, loss=8.3104e-02, res=2.6575e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   3%|▎         | 61/2000 [00:00<00:21, 89.26it/s, loss=8.3969e-02, res=2.6708e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   3%|▎         | 61/2000 [00:00<00:21, 89.26it/s, loss=8.3762e-02, res=2.6622e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   3%|▎         | 61/2000 [00:00<00:21, 89.26it/s, loss=8.4770e-02, res=2.6798e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▎         | 71/2000 [00:00<00:20, 91.95it/s, loss=8.4770e-02, res=2.6798e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▎         | 71/2000 [00:01<00:20, 91.95it/s, loss=8.2892e-02, res=2.6427e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▎         | 71/2000 [00:01<00:20, 91.95it/s, loss=8.4719e-02, res=2.6762e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▎         | 71/2000 [00:01<00:20, 91.95it/s, loss=8.1999e-02, res=2.6207e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▎         | 71/2000 [00:01<00:20, 91.95it/s, loss=8.2158e-02, res=2.6273e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▎         | 71/2000 [00:01<00:20, 91.95it/s, loss=8.1127e-02, res=2.6026e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▎         | 71/2000 [00:01<00:20, 91.95it/s, loss=7.9749e-02, res=2.5700e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▎         | 71/2000 [00:01<00:20, 91.95it/s, loss=7.9055e-02, res=2.5617e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▎         | 71/2000 [00:01<00:20, 91.95it/s, loss=7.8308e-02, res=2.5406e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▎         | 71/2000 [00:01<00:20, 91.95it/s, loss=7.6762e-02, res=2.5041e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▎         | 71/2000 [00:01<00:20, 91.95it/s, loss=7.5748e-02, res=2.4868e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▎         | 71/2000 [00:01<00:20, 91.95it/s, loss=7.4760e-02, res=2.4658e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▍         | 82/2000 [00:01<00:20, 94.38it/s, loss=7.4760e-02, res=2.4658e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▍         | 82/2000 [00:01<00:20, 94.38it/s, loss=7.3588e-02, res=2.4448e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▍         | 82/2000 [00:01<00:20, 94.38it/s, loss=7.3704e-02, res=2.4471e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▍         | 82/2000 [00:01<00:20, 94.38it/s, loss=7.0015e-02, res=2.3706e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▍         | 82/2000 [00:01<00:20, 94.38it/s, loss=6.8983e-02, res=2.3474e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▍         | 82/2000 [00:01<00:20, 94.38it/s, loss=6.8630e-02, res=2.3413e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▍         | 82/2000 [00:01<00:20, 94.38it/s, loss=6.7147e-02, res=2.3093e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▍         | 82/2000 [00:01<00:20, 94.38it/s, loss=6.7254e-02, res=2.3189e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▍         | 82/2000 [00:01<00:20, 94.38it/s, loss=6.6183e-02, res=2.2910e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▍         | 82/2000 [00:01<00:20, 94.38it/s, loss=6.2447e-02, res=2.2142e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   4%|▍         | 82/2000 [00:01<00:20, 94.38it/s, loss=6.2889e-02, res=2.2276e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▍         | 92/2000 [00:01<00:19, 95.51it/s, loss=6.2889e-02, res=2.2276e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▍         | 92/2000 [00:01<00:19, 95.51it/s, loss=6.1766e-02, res=2.1996e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▍         | 92/2000 [00:01<00:19, 95.51it/s, loss=5.9674e-02, res=2.1661e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▍         | 92/2000 [00:01<00:19, 95.51it/s, loss=5.8677e-02, res=2.1452e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▍         | 92/2000 [00:01<00:19, 95.51it/s, loss=5.7418e-02, res=2.1217e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▍         | 92/2000 [00:01<00:19, 95.51it/s, loss=5.7577e-02, res=2.1260e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▍         | 92/2000 [00:01<00:19, 95.51it/s, loss=5.4987e-02, res=2.0742e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▍         | 92/2000 [00:01<00:19, 95.51it/s, loss=5.4146e-02, res=2.0499e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▍         | 92/2000 [00:01<00:19, 95.51it/s, loss=5.2320e-02, res=2.0211e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▍         | 92/2000 [00:01<00:19, 95.51it/s, loss=5.1590e-02, res=2.0022e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▍         | 92/2000 [00:01<00:19, 95.51it/s, loss=4.9842e-02, res=1.9640e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▌         | 102/2000 [00:01<00:19, 96.31it/s, loss=4.9842e-02, res=1.9640e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▌         | 102/2000 [00:01<00:19, 96.31it/s, loss=4.7460e-02, res=1.9128e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▌         | 102/2000 [00:01<00:19, 96.31it/s, loss=4.7355e-02, res=1.9150e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▌         | 102/2000 [00:01<00:19, 96.31it/s, loss=4.6191e-02, res=1.8936e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▌         | 102/2000 [00:01<00:19, 96.31it/s, loss=4.4590e-02, res=1.8577e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▌         | 102/2000 [00:01<00:19, 96.31it/s, loss=4.4947e-02, res=1.8727e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▌         | 102/2000 [00:01<00:19, 96.31it/s, loss=4.2388e-02, res=1.8107e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▌         | 102/2000 [00:01<00:19, 96.31it/s, loss=4.2186e-02, res=1.8175e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▌         | 102/2000 [00:01<00:19, 96.31it/s, loss=4.0937e-02, res=1.7830e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▌         | 102/2000 [00:01<00:19, 96.31it/s, loss=3.9381e-02, res=1.7423e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▌         | 102/2000 [00:01<00:19, 96.31it/s, loss=3.8481e-02, res=1.7274e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   5%|▌         | 102/2000 [00:01<00:19, 96.31it/s, loss=3.8027e-02, res=1.7196e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   6%|▌         | 113/2000 [00:01<00:19, 97.56it/s, loss=3.8027e-02, res=1.7196e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   6%|▌         | 113/2000 [00:01<00:19, 97.56it/s, loss=3.6185e-02, res=1.6698e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   6%|▌         | 113/2000 [00:01<00:19, 97.56it/s, loss=3.5020e-02, res=1.6443e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   6%|▌         | 113/2000 [00:01<00:19, 97.56it/s, loss=3.4741e-02, res=1.6420e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   6%|▌         | 113/2000 [00:01<00:19, 97.56it/s, loss=3.3556e-02, res=1.6154e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   6%|▌         | 113/2000 [00:01<00:19, 97.56it/s, loss=3.2376e-02, res=1.5798e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   6%|▌         | 113/2000 [00:01<00:19, 97.56it/s, loss=3.0581e-02, res=1.5288e-01, lr=1.00e-03]
Outer iter 1 - Training φ:   6%|▌         | 113/2000 [00:01<00:19, 97.56it/s, loss=3.0087e-02, res=1.5218e-01, lr=1.00e-03]
